speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
62,1,2,119.1912673,1.133903041,7.470541248,1.61677357,634.9654213,0.622629143,2.353162588,1.60465508,1748.892518,0.293717483,0.131213465,0.59960242,2812.798972,0.187914331,0.477116076,1.021823927
62,1,3,118.7575627,1.091744195,9.33706792,1.849141171,635.708663,0.590336063,2.670857838,1.611540316,1683.190666,0.305566549,0.169322189,0.569049295,2757.274153,0.197423225,0.041414219,0.974443728
62,1,4,148.9313261,1.636820175,10.31346157,2.928547024,588.7475379,0.466677435,5.753834313,2.086913819,1624.098255,0.268887399,0.097716271,0.667118572,2715.921042,0.157497843,2.398272581,1.553513157
62,2,1,126.5877346,1.034081506,2.916071346,0.806369015,585.0128835,0.590771764,4.718975374,2.06470819,1689.15675,0.279849537,0.490435524,0.570705039,2696.629108,0.173948224,0.897216651,1.070753253
62,2,2,145.1121325,0.914357739,3.505151986,0.945744358,572.9557621,0.639291174,4.224849247,1.991769339,1766.359166,0.291261962,0.161900727,0.500780246,2841.995333,0.1692451,0.947311782,1.031655647
62,2,3,126.1895005,0.917524255,10.1823975,1.710963383,616.429272,0.571543674,3.306224569,1.830416562,1665.723175,0.288248636,0.637040948,0.761794268,2680.943507,0.18054651,1.124928185,1.181826517
62,2,4,231.0350467,1.46294259,1.49498691,1.684897074,556.0831487,0.376835913,12.8325993,2.752932438,1551.455734,0.236646984,0.450155504,0.747936383,2658.100653,0.128345219,3.192200337,1.494238506
63,1,1,110.5731414,0.813280819,15.16556277,1.829708142,580.2201191,0.678950348,3.190985849,1.91855113,1679.41719,0.292441813,1.397316508,0.94215646,2747.409164,0.203809917,0.101907975,0.806127924
63,1,2,110.6016618,1.108700404,13.75152801,2.088775329,626.0088946,0.728919146,1.362093729,1.51129807,1765.715978,0.302197235,0.279764963,0.670117223,2860.89347,0.188275207,0.012376944,0.784605041
63,1,3,114.9299515,1.318288842,17.32217909,3.096159133,614.8699389,0.675477841,3.110654477,1.894115437,1677.638366,0.301175534,1.159587693,1.025185122,2722.973776,0.209697714,0.010443113,0.842019636
63,1,4,108.2616338,1.424648731,21.78994339,3.709579737,662.5788614,0.715046296,-0.270370956,0.974642034,1665.116326,0.284834337,1.10975307,1.024638558,2819.253682,0.238220909,-0.982549156,0.40711623
63,2,1,118.4413098,1.278000783,14.45061205,2.573579631,668.3410618,0.681207278,1.104651885,1.37875516,1749.204453,0.295110449,0.711679926,0.890859541,2792.364405,0.210607704,-0.110866818,0.852131045
